Chennai Super Kings,4,14
Delhi Capitals,7,14
Gujarat Titans,12,14
Kolkata Knight Riders,6,14
Lucknow Super Giants,9,15
Mumbai Indians,4,14
Punjab Kings,7,14
Rajasthan Royals,10,17
Royal Challengers Bangalore,9,16
Sunrisers Hyderabad,6,14
